RespondentID,Consent,Age,Gender,Education,Single,Dating1,Dating2,Married,Divorced,Widowed,Cohabiting,Engaged,Household,Ethnicity,EthnicityOther,Language,LanguageOther,EnglishFluency,Income,IncomeOther,Height,HeightMetres,Weight,WeightKilos,BMI,BIAAQ1,BIAAQ2,BIAAQ3,BIAAQ4,BIAAQ5,BIAAQ6,BIAAQ7,BIAAQ8,BIAAQ9,BIAAQ10,BIAAQ11,BIAAQ12
4198452886,1,19,1,2,,,1,,,,,,3,4,,1,,7,6,,5'4,1.63,300,136.08,51.49,5,5,5,5,4,5,4,4,4,5,4,5
4198453557,1,38,1,2,,,,,1,,,,3,4,,1,,7,2,,5'5,1.65,165,74.84,27.46,3,4,3,2,2,4,4,4,3,3,3,2
4198453608,1,49,1,3,,,,,,1,,,2,2,,1,,7,2,,5 5,1.65,316,143.34,52.58,6,2,5,6,2,4,6,6,7,5,5,7
4198453768,1,33,1,2,1,,,,,,,,3,4,,1,,7,5,,4' 11'',1.5,85,38.56,17.17,1,2,1,2,2,2,2,2,2,2,4,2
4198454347,1,61,1,3,,,,,,,1,,2,2,,1,,7,9,,5 feet 6,1.68,152,68.95,24.53,2,4,2,2,2,3,2,2,3,2,2,2
4198455186,1,41,1,4,,,,1,,,,,4,4,,1,,7,5,,5 ft 5in,1.65,142,64.41,23.63,4,6,3,4,4,4,4,5,5,4,3,4
4198455855,1,28,1,3,1,,,,,,,,1,4,,1,,7,4,,5'5,1.65,170,77.11,28.29,4,4,4,5,5,5,3,5,4,3,4,3
4198456266,1,42,1,4,,,,1,,,,,4,5,,1,,7,10,,5 ' 6,1.68,141,63.96,22.76,4,7,3,4,4,5,5,6,7,5,6,4
4198456273,1,59,1,3,,,,1,,,,,2,6,,1,,7,6,,5'2,1.57,160,72.57,29.26,4,5,3,3,3,5,3,3,3,4,3,4
4198456490,1,51,1,2,,,,1,,,,,2,0,white,1,,7,2,,5'3,1.6,150,68.04,26.57,7,7,7,7,6,6,7,7,7,7,7,7
4198457352,1,45,1,2,,,,,,,1,,3,4,,1,,7,2,,5.5,1.65,140,63.5,23.3,4,3,4,1,3,2,2,3,1,3,2,5
4198459147,1,42,1,5,,,,1,,,,,5,4,,1,,7,10,,5'4,1.63,140,63.5,24.03,2,5,6,6,5,2,2,2,3,2,2,2
4198459975,1,41,1,3,,,,1,,,,,3,4,,1,,7,11,,5'3,1.6,125,56.7,22.14,1,2,1,1,2,4,1,3,1,1,2,2
4198460543,1,53,1,3,,,,1,,,,,2,4,,1,,7,4,,5 '7,1.7,200,90.72,31.32,4,5,1,2,1,4,2,4,4,4,2,4
